indexnummer,re,dugobo,fogobo,duprbo,foprbo,dush,fosh,cash,misc,debt,ta11,tl11,nw11,ta0,tl0,nw0,w_deflated
G18,192797,323337.25,404708.288,72287.54,127558.98,338183.76,25041.9,14878.8,184487.52,-4820.59,1413820.62,-46386.31,1367434.31,1414580.62,-47451.31,1367129.31,NA
G180,0,0,17339,17824,35571,16629.35,0,167,1377,-1306.17,88924.65,-1306.17,87618.48,88924.65,-1306.17,87618.48,NA
G181,83120.75,0,0,0,0,0,0,0,0,-3423.3,64780,-860,63920.27,83465.5,-4610.21,78855.29,NA
G182,243875.77,14393,120,13100,2,28600,90,6054,18677.5,-102369.77,324420.24,-102369.77,222050.46,324420.24,-102369.78,222050.46,NA
G183,788,14585,5115,67859,7668,8608,4075,834,3100,-2597,44068,-2945,41123,44890,-2945,41445,NA
G184,199864,45739,25453,66574,48458,95719,10198,200,29390,-9087,401507.56,-7229.26,194856.86,200760.53,-5896.92,194863.61,NA
G185,156522,90644,138832,207816,201992,66438,0,1700,43876,-10869.05,927199.37,-10869.05,1057323.96,927199.37,-10869.05,1057323.96,NA
G186,530841,242985,13711,123445,14675,80760,0,15253,7352,-35487.4,1030551.53,-35487.4,994864.13,1064326.5,-35487.4,1028839.13,NA
G187,172508.55,24493,8930,90328,14425,40215,0,467,6702,-2940.67,351478.24,-2940.67,348537.57,351478.23,-2940.67,348537.56,NA
G189,134498.8,0,135,83430,3140,7995,13689,5500,1500,-3693.25,74481.55,-3693.25,70788.3,74481.55,-3693.25,70788.3,NA
G190,91410,125237,113206,571589,25006,249918,2030,2302,24009,-323483.08,534554.73,-860.14,533694.54,534554.73,-860.14,533694.54,NA
G196,135791,11049,139315,170777,57045,108303,14947,2304,29850,-327564.06,70976.05,-12189.4,58786.65,70976.05,-12189.4,58786.65,NA
G198,214123.96,428,121115,169639,86647,97157,9816,2287,20773,-16992.43,687371.95,-16992.43,670379.52,683823.95,-16992.43,666831.52,NA
G199,0,0,0,0,0,40000,0,0,0,0,40000,0,40000,40000,0,40000,NA
G2,460579,20873,31494,160744,6406,3972,20,4542,22732,-803,710386.01,-1171.16,709214.85,710386.01,-1171.16,709214.85,NA
G201,96331,1002,7494,43806,21018,208183,8933,1463,11138,-16522.14,399515.81,-16522.14,189949.72,199757.63,-9808.18,189949.44,NA
G202,110447.89,0,0,11833,0,1360,0,0,33263,-193683,157108.82,-193683.35,-36374.53,157225.7,-193583.35,-36357,NA
G209,20267.77,31685,0,25299.54,4393.51,8550,0,1585,3611.5,-7614.68,87385.19,-7614.68,79770.51,87385.19,-7614.68,79770.51,NA
G21,41100,27467,79585,87324,0,1779,0,6097,10491,-4371,253854.29,-4371,249483.29,253854.29,-4371,249483.29,NA
G213,95471,88608,13990.25,145068.3,21673,45959,1092,262,4193.87,-9019.75,416649.23,-9019.75,407629.48,416931.37,-9072.1,407859.27,NA
G215,15888,1210,11301,55812.98,38026,44608,50880,5564,5971,-41999.85,230694.06,-41999.85,188694.2,230694.06,-41999.85,188694.2,NA
G216,35506,0,0,63034,0,336,0,1577,16816,-88014,117271.63,-89303.015,27968.615,117271.63,-89303.055,27968.615,NA
G218,390873,12427,1318,76494,4709,4398,92,177,10825,-17809.4,501714.67,-17809.4,483898.69,501708.17,-17809.48,483898.69,NA
G219,173480,19009,1252,38008,5670.5,17218,0,0,935,-4622.16,254182.5,-4622.16,124780.17,254182.5,-4622.16,124780.17,NA
G22,30699,0,48.625,62530.245,0,45178.635,0,1576.91,16774.91,-137669.945,117271.63,-89303.015,27968.615,117271.63,-89303.015,27968.615,NA
G222,62950,140367,90964,345954,441011,224332,175024,200,35676,-2346.25,1516279,-2346.25,410038.17,1516279,-2346.25,410396.42,NA
G223,184338,1152,49759,110311,1005,84700,0,3600,27579,-11749.45,305992.74,-6907.55,299885.19,305992.74,-6907.55,299885.19,NA
G225,178637,0,59143,129881,74699,400647,81480,500,22739,-341080,762552.07,-341080,532290.9,762552.07,-341080,532290.9,NA
G226,85400,7877,0,39005,0,25695,0,499,9434,-14471.3,180808.35,-14471.3,85138.85,90403.93,-5265.08,85138.85,NA
G227,106500,22190,41751,177287,55712,278299.5,10571,643,13552,-94704.1,424547.46,-94704.1,329843.36,383918.35,-54024.89,329893.36,NA
G23,154036.26,26617,31274,95091,9801,19923,0,462,25635,-6209.5,362995.31,-6209.5,356735.8,362995.31,-6229.5,356735.8,NA
G230,0,10535,189,39987,4,2470,0,105,2495,-28408,57665.04,-28487.52,20900.06,43248.77,-22448.71,20800.06,NA
G233,62881,32049,6453,115199,47533,46952.8,6960,1394,12564,-4882.83,331971.72,-4882.83,327088.89,332007.72,-4882.83,327124.89,NA
G234,589422,161026,109959,469499,107313,512495.53,46391,2418,59924,-211143.07,2061615.08,-211143.07,1850472.01,2061615.08,-211143.07,1876332,NA
G235,178195,0,11140,19277,15380,68442,4187,250,15118.5,-35347.73,298894.41,-22247.73,135884.62,146979.92,-11877.3,135902.62,NA
G237,0,101,1464,18249,1045,7070.5,0,45,5334.39,-34544.49,35060.61,-34544.49,516.12,35060.61,-16400.81,18571.7,NA
G24,83995,935,23270,33639,0,23004,2866,91,2811,-18809.19,162082.43,-18809.19,143243.24,162082.43,-18809.19,143243.24,NA
G242,332691,27691.25,1650,20473.31,0,104536.9,7200,4448,12698.84,-30653.57,237894.24,-31536.93,206357.31,196221.09,-19598,176623.09,NA
G244,38500,107620,738,162995,0,314089,0,1495,19224,-124508,528246.45,-106934.73,421311.72,528246.45,-106934.73,421311.72,NA
G246,23000,186692,5574,158908.8,14638,39029.65,0,2600,4497,-1590,436910,-1590,435320.13,432528.95,-104691.88,327837.07,NA
G248,147500,102,582,115647,0,84866,0,7941,50386,-197307.27,406878.79,-197307.27,209571.52,406878.79,-197307.27,209571.52,NA
G25,148375,6325,20559,11023,16890,4119,0,396,5583,-2250.64,215809.39,-2250.64,213558.75,215809.39,-2250.64,213558.75,NA
G253,5585.8,480,0,4646.8,0,4631.97,0,0,1574,-11138.39,14597.19,-10625.64,3631.99,3971.55,-339.56,3631.99,NA
G255,177000,1859,234,21111,0,33224,0,1490,11911,-1236,247148,-1340,247008,248347,-1340,247007,NA
G258,8393,179415,23678.5,140212,11797,81337,16128,2611.95,1037,-17753.83,240208.46,-17303.46,361666.76,240208.46,-17303.46,362858.93,NA
G259,224400,44441,2966,228149,30120,66514,616,1563,36432,-8618,635199,-8207,312441,317697,-5158,312539,NA
