name_elections;amco;name_hdng
Laagnieuwkoop;10305;LAAG NIEUWKOOP
Loenersloot;10208;LOENERSLOOT
Loosdrecht;10639;LOOSDRECHT
Maarssen;10191;MAARSSEN
Maarssenbroek;10171;MAARSSENBROEK
Maarsseveen;10874;MAARSSEVEEN
Maartensdijk;10691;MAARTENSDIJK
Nigtevecht;10160;NIGTEVECHT
Odijk;11003;ODIJK
Oud-Wulven;11356;OUD WULVEN
Oudenrijn;10114;OUDENRIJN
's Graveland;10534;'S GRAVELAND
Amerongen;11372;AMERONGEN
Amersfoort;10948;AMERSFOORT
Ankeveen;10936;ANKEVEEN
Baarn;11411;BAARN
Blaricum;10493;BLARICUM
Bunschoten;11343;BUNSCHOTEN
Bussum;10281;BUSSUM
Cothen;11316;COTHEN
Darthuizen;11168;DARTHUIZEN
De Vuursche;11441;DE VUURSCHE
Doorn;10213;DOORN
Duist;10070;DUIST
Eemnes;10248;EEMNES
Hilversum;11285;HILVERSUM
's Gravesloot;10882;'S GRAVESLOOT
Benschop;11330;BENSCHOP
Cabauw;11275;CABOUW
Harmelen;10183;HARMELEN
Hoenkoop;10611;HOENKOOP
Jaarsveld;10847;JAARSVELD
Kamerik Houtdijke;10554;KAMERIK HOUTDIJKEN
Kamerik Mijzijde;10555;KAMERIK MIJZIJDE
Kockengen;10765;KOCKENGEN
Linschoten;11324;LINSCHOTEN
Akersloot;10346;AKERSLOOT
Alkmaar;10527;ALKMAAR
Assendelft;11373;ASSENDELFT
Barsingerhorn;10973;BARSINGERHORN
Bergen;11281;BERGEN L
Beverwijk;10272;BEVERWIJK
Broek op Langedijk;10955;BROEK OP LANGENDIJK
Callantsoog;10559;CALLANTSOOG
Castricum;11287;CASTRICUM
Egmond aan Zee;10421;EGMOND AAN ZEE
Egmond-Binnen;10989;EGMOND BINNEN
Harenkarspel;10963;HARENKARSPEL
Heemskerk;10679;HEEMSKERK
Heerhugowaard;10752;HEERHUGOWAARD
Heilo;10793;HEILOO
Helder (Den);10285;DEN HELDER
Koedijk;10510;KOEDIJK
Koog aan de Zaan;10776;KOOG AAN DE ZAAN
Krommenie;10373;KROMMENIE
Limmen;11370;LIMMEN
Nieuwe-Niedorp;10073;NIEUWE NIEDORP
Noord-Scharwoude;10075;NOORD-SCHARWOUDE
Oterleek;10133;OTERLEEK
Oude-Niedorp;10896;OUDE-NIEDORP
Oudkarspel;11051;OUDKARSPEL
Abbekerk;10439;ABBEKERK
Andijk;10822;ANDIJK
Avenhorn;11147;AVENHORN
Beemster;10816;BEEMSTER
Beets;10536;BEETS
Berkhout;10354;BERKHOUT
Blokker;10804;BLOKKER
Bovenkarspel;10945;BOVENKARSPEL
Broek in Waterland;10289;BROEK IN WATERLAND
Buiksloot;10961;BUIKSLOOT
De Rijp;11417;DE RIJP
