b1_nummer;politician;vote;law;date;house;pdc_naam;category
01069;Pyttersen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Pyttersen;fiscal
00198;Brantsen van de Zijp;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Brantsen van de Zijp;fiscal
01238;Seret;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Seret;fiscal
00163;van der Borch van Verwolde;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Borch van Verwolde;fiscal
01374;Travaglino;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Travaglino;fiscal
00334;Donner;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Donner;fiscal
00108;Bevers;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Bevers;fiscal
01507;Walter;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Walter;fiscal
00778;Lambrechts;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Lambrechts;fiscal
01229;van der Schrieck;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Schrieck;fiscal
00691;Keuchenius;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Keuchenius;fiscal
00763;van der Kun;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Kun;fiscal
01280;Smits van Oijen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Smits van Oijen;fiscal
00864;T. Mackay;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Mackay;fiscal
01400;van de Velde;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Velde;fiscal
01091;Reekers;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Reekers;fiscal
01042;Poelman;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Poelman;fiscal
00318;Dobbelmann;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Dobbelmann;fiscal
00450;Gerritsen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Gerritsen;fiscal
00397;Farncombe Sanders;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Farncombe Sanders;fiscal
00540;Heemskerk;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Heemskerk;fiscal
00522;Harte van Tecklenburg;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Harte van Tecklenburg;fiscal
01085;de Ras;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Ras;fiscal
00294;G.W. baron van Dedem;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Dedem;fiscal
00676;van Karnebeek;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Karnebeek;fiscal
01422;Vermeulen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Vermeulen;fiscal
00833;van Löben Sels;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Löben Sels;fiscal
00087;van den Berch van Heemstede;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Berch van Heemstede;fiscal
00951;Mutsaers;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Mutsaers;fiscal
00433;Lintelo baron de Geer van Jutphaas;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Lintelo baron de Geer van Jutphaas;fiscal
01458;van Vlijmen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Vlijmen;fiscal
00245;van Bylandt;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Bylandt;fiscal
00508;Haffmans;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Haffmans;fiscal
00076;Beelaerts van Blokland;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Beelaerts van Blokland;fiscal
00773;K. ter Laan;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Laan;fiscal
00357;J.E.W. Duijs;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Duijs;fiscal
00447;Gerhard;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Gerhard;fiscal
00967;Nierstrasz;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Nierstrasz;fiscal
01454;van Vliet;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Vliet;fiscal
01124;Roodenburg;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Roodenburg;fiscal
00557;Helsdingen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Helsdingen;fiscal
01113;Rink;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Rink;fiscal
00665;Juten;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Juten;fiscal
01583;van Wijnbergen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Wijnbergen;fiscal
