b1_nummer;politician;vote;law;date;house;pdc_naam;category;district;sum_industry;sum_services;sum_agriculture;industry;services;agriculture;total_pers_taxes;vermogen_tax;income_tax;catholics;geref;hervormd;catholic_pct;geref_pct;hervormd_pct
01601;van Zinnicq Bergmann;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Zinnicq Bergmann;fiscal;'s-Hertogenbosch;10950;9042;4361;0,449636595080688;0,3712821031486604;0,17906841043787664;136452;6509;9447;88504;207;4961;0,944828764198479831;2,20983858570331e-03;0,05296139721581689
00322;van der Doos de Willebois;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Does de Willebois;fiscal;'s-Hertogenbosch;10950;9042;4361;0,449636595080688;0,3712821031486604;0,17906841043787664;136452;6509;9447;88504;207;4961;0,944828764198479831;2,20983858570331e-03;0,05296139721581689
00508;Haffmans;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Haffmans;fiscal;Boxmeer;1566;492;1186;0,482737361282367;0,1516420458443063;0,36552654669729256;38208;7522;6419;41165;43;3662;0,917428125696456376;9,58324047247604e-04;0,08161355025629596
00851;Luyben;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Luyben;fiscal;Breda;14810;11525;7969;0,431728078358209;0,3359624229124520;0,23230007187037607;157902;4881;7334;83069;470;13147;0,859162650228574964;4,86109674616801e-03;0,13597625302525701
00201;de Brauw;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Brauw;fiscal;Gouda;15468;14320;6167;0,430204422194410;0,3982708569633182;0,17151600342737255;244681;13406;19545;29583;2816;88880;0,243925164290602653;2,32191888125727e-02;0,73285564689682470
00973;C. van Nispen tot Sevenaer;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Nispen tot Sevenaer;fiscal;Breda;14810;11525;7969;0,431728078358209;0,3359624229124520;0,23230007187037607;157902;4881;7334;83069;470;13147;0,859162650228574964;4,86109674616801e-03;0,13597625302525701
00870;van der Maesen de Sombreff;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Maesen de Sombreff;fiscal;Maastricht;11171;8253;2275;0,514816350983916;0,3803310843513060;0,10483921625164523;122833;5704;20416;91682;1333;5617;0,929536053207883906;1,35148836077541e-02;0,05694906318436208
01603;van Zuylen van Nyevelt;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Zuylen van Nijevelt;fiscal;Arnhem;30502;22032;17588;0,434984740880180;0,3141933106686086;0,25081731971662413;273587;2597;6923;23554;1087;86222;0,212460424127075748;9,80489432903674e-03;0,77773468154388747
00350;Dumbar;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Dumbar;fiscal;Deventer;9405;5500;4823;0,476733576642336;0,2787848283612968;0,24446549583427155;78201;1948;2897;9048;709;39745;0,182780493717425552;1,43226536301564e-02;0,80289685265241806
00631;'s Jacob;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Jacob;fiscal;Amsterdam;39841;103090;509;0,277753764640268;0,7186963216633506;0,00354849737938846;915409;146;1325;57938;1917;132003;0,301983758821628478;9,99176474267427e-03;0,68802447643569720
00202;Bredius;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bredius;fiscal;Dordrecht;12704;11826;2162;0,475947849542934;0,4430461986031218;0,08099526321876120;166772;8742;11073;4255;2832;104614;0,038092765507918458;2,53533988057403e-02;0,93655383568634121
00998;Oldenhuis Gratama;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Oldenhuis Gratama;fiscal;Assen;20430;10496;9475;0,505680552461573;0,2597922979155780;0,23451945451163797;106308;9060;8901;6988;11526;94937;0,061594873557747398;1,01594520982627e-01;0,83681060545962571
00625;Idzerda;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Idzerda;fiscal;Sneek;22029;12306;15176;0,444931429379330;0,2485485935028382;0,30651345032508842;178607;3230;6181;9509;4162;84167;0,097191275373576733;4,25397084977207e-02;0,86026901612870255
00583;Hingst;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Hingst;fiscal;Leeuwarden;25048;19914;16549;0,407211718229260;0,3237448288486933;0,26903811261124311;211678;2034;3963;11919;5350;83530;0,118245220686713157;5,30759233722557e-02;0,82867885594103119
00607;van Houten;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Houten;fiscal;Groningen;10314;16133;2620;0,354835380328207;0,5550212632476336;0,09013375963119652;117851;830;1880;7617;1875;38355;0,159194933851652148;3,91874098689573e-02;0,80161765627939052
00930;Mirandolle;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Mirandolle;fiscal;Haarlem;10963;12390;4361;0,395576243054052;0,4470600834831405;0,15735250808474474;167500;1919;6585;27711;1304;29021;0,477479495485560679;2,24688124612310e-02;0,50005169205320832
00130;Blom;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Blom;fiscal;Rotterdam;22492;53633;535;0,293399426037047;0,6996190285961200;0,00697877732775010;417461;66;440;34998;4180;63368;0,341290737815224399;4,07621945273341e-02;0,61794706765744156
00650;de Jong;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Jong;fiscal;Hoorn;4080;5340;2236;0,350034317089911;0,4581193928012350;0,19181923306238607;199099;12677;26840;29929;2806;65877;0,303502616314444473;2,84549547722387e-02;0,66804242891331689
00280;Cremers;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Cremers;fiscal;Zuidhorn;14162;6468;11570;0,439813664596273;0,2008668216157481;0,35930962103531972;88165;5709;6982;2050;10250;38124;0,040655243534824685;2,03276217674123e-01;0,75606853879105185
01123;de Roo van Alderwerelt;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Roo van Alderwerelt;fiscal;Leeuwarden;25048;19914;16549;0,407211718229260;0,3237448288486933;0,26903811261124311;211678;2034;3963;11919;5350;83530;0,118245220686713157;5,30759233722557e-02;0,82867885594103119
00110;van Beyma thoe Kingma;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Beyma thoe Kingma;fiscal;Dokkum;13367;5038;11109;0,452903706715457;0,1706960320910193;0,37638968907935899;76265;1911;2912;904;4654;46789;0,017269375513400961;8,89067186276195e-02;0,89382390585897953
