politician;vote;law;date;house
Bredius;1;Successiewet 1878;1878-05-24;Tweede Kamer
van Delden;1;Successiewet 1878;1878-05-24;Tweede Kamer
Schepel;1;Successiewet 1878;1878-05-24;Tweede Kamer
Lenting;1;Successiewet 1878;1878-05-24;Tweede Kamer
Godefroi;1;Successiewet 1878;1878-05-24;Tweede Kamer
de Meijier;1;Successiewet 1878;1878-05-24;Tweede Kamer
Goeman Borgesius;1;Successiewet 1878;1878-05-24;Tweede Kamer
Bergsma;1;Successiewet 1878;1878-05-24;Tweede Kamer
de Ruiter Zylker;1;Successiewet 1878;1878-05-24;Tweede Kamer
van Tienlioven;1;Successiewet 1878;1878-05-24;Tweede Kamer
Dijckmeester;1;Successiewet 1878;1878-05-24;Tweede Kamer
Roell;1;Successiewet 1878;1878-05-24;Tweede Kamer
Vening Meinesz;1;Successiewet 1878;1878-05-24;Tweede Kamer
van Houten;1;Successiewet 1878;1878-05-24;Tweede Kamer
Cremers;1;Successiewet 1878;1878-05-24;Tweede Kamer
Mirandolle;1;Successiewet 1878;1878-05-24;Tweede Kamer
Fransen van de Putte;1;Successiewet 1878;1878-05-24;Tweede Kamer
de Bruyn Kops;1;Successiewet 1878;1878-05-24;Tweede Kamer
Wybenga;1;Successiewet 1878;1878-05-24;Tweede Kamer
van Heukelom;1;Successiewet 1878;1878-05-24;Tweede Kamer
Holtzman;1;Successiewet 1878;1878-05-24;Tweede Kamer
D. van Eck;1;Successiewet 1878;1878-05-24;Tweede Kamer
Dullert;1;Successiewet 1878;1878-05-24;Tweede Kamer
Cremer van den Berch van Heemstede;0;Successiewet 1878;1878-05-24;Tweede Kamer
Schimmelpenninck van der Oye;0;Successiewet 1878;1878-05-24;Tweede Kamer
Bichon van IJsselmonde;0;Successiewet 1878;1878-05-24;Tweede Kamer
Reekers;0;Successiewet 1878;1878-05-24;Tweede Kamer
van Asch van Wijck;0;Successiewet 1878;1878-05-24;Tweede Kamer
Heydenrijck;0;Successiewet 1878;1878-05-24;Tweede Kamer
de Casembroot;0;Successiewet 1878;1878-05-24;Tweede Kamer
G.E.F.X.M. Kerens de Wylré;0;Successiewet 1878;1878-05-24;Tweede Kamer
van Kerkwijk;0;Successiewet 1878;1878-05-24;Tweede Kamer
de Bieberstein Rogalla Zawadsky;0;Successiewet 1878;1878-05-24;Tweede Kamer
van Nispen tot Sevenaer;0;Successiewet 1878;1878-05-24;Tweede Kamer
Corver Hooft;0;Successiewet 1878;1878-05-24;Tweede Kamer
Begram;0;Successiewet 1878;1878-05-24;Tweede Kamer
van der Schrieck;0;Successiewet 1878;1878-05-24;Tweede Kamer
Teding van Berkhout;0;Successiewet 1878;1878-05-24;Tweede Kamer
Haffmans;0;Successiewet 1878;1878-05-24;Tweede Kamer
van Baar;0;Successiewet 1878;1878-05-24;Tweede Kamer
Borret;0;Successiewet 1878;1878-05-24;Tweede Kamer
Verheijen;0;Successiewet 1878;1878-05-24;Tweede Kamer
Mackay;0;Successiewet 1878;1878-05-24;Tweede Kamer
Lambrechts;0;Successiewet 1878;1878-05-24;Tweede Kamer
van Zinnicq Bergmann;0;Successiewet 1878;1878-05-24;Tweede Kamer
Saaymans Vader;0;Successiewet 1878;1878-05-24;Tweede Kamer
Insinger;0;Successiewet 1878;1878-05-24;Tweede Kamer
Schagen van Leeuwen;0;Successiewet 1878;1878-05-24;Tweede Kamer
de Jonge;0;Successiewet 1878;1878-05-24;Tweede Kamer
Schimmelpenninck;0;Successiewet 1878;1878-05-24;Tweede Kamer
H.A. Amorie Hoeven;0;Successiewet 1878;1878-05-24;Tweede Kamer
Arnoldts;0;Successiewet 1878;1878-05-24;Tweede Kamer
Brouwers;0;Successiewet 1878;1878-05-24;Tweede Kamer
van Wassenaer van Catwijck;0;Successiewet 1878;1878-05-24;Tweede Kamer
Wintgens;0;Successiewet 1878;1878-05-24;Tweede Kamer
Elhorst;1;Successiewet 1911;1911-03-10;Tweede Kamer
O.F.A.M. van Nispen tot Sevenaer;1;Successiewet 1911;1911-03-10;Tweede Kamer
ter Laan;1;Successiewet 1911;1911-03-10;Tweede Kamer
Patijn;1;Successiewet 1911;1911-03-10;Tweede Kamer
de Monte verLoren;1;Successiewet 1911;1911-03-10;Tweede Kamer
Ketelaar;1;Successiewet 1911;1911-03-10;Tweede Kamer
van Hamel;1;Successiewet 1911;1911-03-10;Tweede Kamer
Ferf;1;Successiewet 1911;1911-03-10;Tweede Kamer
Dolk;1;Successiewet 1911;1911-03-10;Tweede Kamer
Schaper;1;Successiewet 1911;1911-03-10;Tweede Kamer
Aalberse;1;Successiewet 1911;1911-03-10;Tweede Kamer
Rink;1;Successiewet 1911;1911-03-10;Tweede Kamer
Vliegen;1;Successiewet 1911;1911-03-10;Tweede Kamer
Snoeck Henkemans;1;Successiewet 1911;1911-03-10;Tweede Kamer
Roodkuyzen;1;Successiewet 1911;1911-03-10;Tweede Kamer
Smidt;1;Successiewet 1911;1911-03-10;Tweede Kamer
de Klerk;1;Successiewet 1911;1911-03-10;Tweede Kamer
Heemskerk;1;Successiewet 1911;1911-03-10;Tweede Kamer
de Geer;1;Successiewet 1911;1911-03-10;Tweede Kamer
van Karnebeek;1;Successiewet 1911;1911-03-10;Tweede Kamer
van der Voort van Zijp;1;Successiewet 1911;1911-03-10;Tweede Kamer
J.W.J.C.M. van Nispen tot Sevenaer;1;Successiewet 1911;1911-03-10;Tweede Kamer
Limburg;1;Successiewet 1911;1911-03-10;Tweede Kamer
de Ram;1;Successiewet 1911;1911-03-10;Tweede Kamer
Ankerman;1;Successiewet 1911;1911-03-10;Tweede Kamer
D. Bos;1;Successiewet 1911;1911-03-10;Tweede Kamer
