politician;vote;law;house;date
Raymakers;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van der Borch van Verwolde;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Arts;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Heemstra;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Ferf;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Vlijmen;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Verhey;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Wichen;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van der Kun;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Zijlma;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Sluis;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
de Waal Malefijt;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Styrum;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Alphen;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Bolsius;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
de Savornin Lohman;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Nolens;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Bylandt;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Staalman;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Aalberse;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Gijn;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Bijleveldt;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Mackay;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Nolting;1;Antistakingswet 1903;Tweede Kamer;1903-04-09
Marchant;1;Antistakingswet 1903;Tweede Kamer;1903-04-09
Hugenholtz;1;Antistakingswet 1903;Tweede Kamer;1903-04-09
Smidt;1;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Raalte;1;Antistakingswet 1903;Tweede Kamer;1903-04-09
van der Zwaag;1;Antistakingswet 1903;Tweede Kamer;1903-04-09
Drucker;1;Antistakingswet 1903;Tweede Kamer;1903-04-09
Helsdingen;1;Antistakingswet 1903;Tweede Kamer;1903-04-09
Troelstra;1;Antistakingswet 1903;Tweede Kamer;1903-04-09
Schaper;1;Antistakingswet 1903;Tweede Kamer;1903-04-09
ter Laan;1;Antistakingswet 1903;Tweede Kamer;1903-04-09
Melchers;1;Antistakingswet 1903;Tweede Kamer;1903-04-09
Bos;1;Antistakingswet 1903;Tweede Kamer;1903-04-09
Ketelaar;1;Antistakingswet 1903;Tweede Kamer;1903-04-09
Nolting;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Roessingh;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Limburg;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Thomson;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Reyne;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Schaper;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Deventer;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Smidt;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Hubrecht;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Doorn;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Patijn;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Drucker;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
ter Laan;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Marchant;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Goeman Borgesius;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Bos;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Treub;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Karnebeek;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
de Klerk;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Tydeman;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
F.I.J. Janssen;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
IJzerman;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Gijn;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
de Boer;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Lely;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Kol;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Plate;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Zijlma;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Jannink;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
de Beaufort;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Troelstra;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Pierson;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Jansen;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Foreest;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van der Zwaag;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Blooker;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Smeenge;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Ketelaar;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Mees;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Verhey;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
S. van den Bergh;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Lieftinck;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Styrum;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Roell;1;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Veen;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
de Ram;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Nolens;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Heemstra;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Saste van Ysselt;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Loeft';0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Heemskerk;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Vuuren;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Duymaer van Twist;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Kolkman;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van den Berch van Heemstede;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Koolen;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van de Velde;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
de Waal Malefijt;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Brummelkamp;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Bogaardt;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Aalberse;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Limburg Stirum;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Passtoors;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Duynstee;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Vlijmen;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van den Heuvel;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Beckers;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Ruys de Beerenbrouck;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Wijnbergen;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Bolsius;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Regout;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Talma;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Okma;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Alphen;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
de Savornin Lobman;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Nispen tot Sevenaer;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Wassenaer van Catwijck;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van der Borch van Verwolde;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Fruytier;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Idsinga;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Dedem;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Brants;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Lucasse;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Bylandt;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
van Vliet;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
Schokking;0;Arbeidscontractwet 1907;Tweede Kamer;1906-06-21
A.P. Staalman;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
de Monté ver Loren;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
van Wijnbergen;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Schokking;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Heemskerk;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Treub;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Bakker;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Schaper;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Ketelaar;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Rugge;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
J.E.W. Duijs;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Groeneweg;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Helsdingen;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Kleerekoper;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
van der Waerden;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Ossendorp;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Bomans;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Duymaer van Twist;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Troelstra;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Teenstra;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Swane;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
van der Voort van Zijp;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Kolkman;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Snoeck Henkemans;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
de Geer;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Oud;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Bongaerts;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Dresselhuys;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
van Rijzewijk;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
van de Laar;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Niemeijer;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
A.G.Æ. ridder van Rappard;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
P.J. Reymer;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Koolen;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
de Jonge;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Beumer;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Kuiper;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Oudegeest;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
van den Tempel;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
van de Bilt;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
L. M. Hermans;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
de Zeeuw;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Heijkoop;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Smeenk;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Deckers;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Lely;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
de Wilde;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
van Dijk;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Wintermans;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
van Schaik;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Haazevoet;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Nolens;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
van Zadelhoff;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Poels;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Ter Hall;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
de Savornin Lohman;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
de Groot;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
H. Hermans;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Schouten;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
van Veen;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Engels;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Zijlstra;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Fleskens;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Bulten;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
