b1_nummer;politician;vote;law;date;house;pdc_naam;category;district
01069;Pyttersen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Pyttersen;fiscal;Schoterland
00198;Brantsen van de Zijp;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Brantsen van de Zijp;fiscal;Sneek
01238;Seret;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Seret;fiscal;Gorinchem
00163;van der Borch van Verwolde;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Borch van Verwolde;fiscal;Schiedam
01374;Travaglino;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Travaglino;fiscal;Druten
00334;Donner;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Donner;fiscal;Katwijk
00108;Bevers;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Bevers;fiscal;Doetinchem
01507;Walter;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Walter;fiscal;Hontenisse
00778;Lambrechts;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Lambrechts;fiscal;Sittard
01229;van der Schrieck;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Schrieck;fiscal;'s-Hertogenbosch
00691;Keuchenius;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Keuchenius;fiscal;Goes
00763;van der Kun;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Kun;fiscal;Zevenbergen
01280;Smits van Oijen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Smits van Oijen;fiscal;Eindhoven
00864;T. Mackay;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Mackay;fiscal;Hilversum
01400;van de Velde;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Velde;fiscal;Delft
01091;Reekers;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Reekers;fiscal;Haarlemmermeer
01042;Poelman;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Poelman;fiscal;Veendam
00318;Dobbelmann;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Dobbelmann;fiscal;Nijmegen
00450;Gerritsen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Gerritsen;fiscal;Leeuwarden
00397;Farncombe Sanders;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Farncombe Sanders;fiscal;Haarlem
00540;Heemskerk;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Heemskerk;fiscal;Harlingen
00522;Harte van Tecklenburg;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Harte van Tecklenburg;fiscal;Grave
01085;de Ras;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Ras;fiscal;Maastricht
00294;G.W. baron van Dedem;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Dedem;fiscal;Elst
00676;van Karnebeek;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Karnebeek;fiscal;Rotterdam
01422;Vermeulen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Vermeulen;fiscal;Helmond
00833;van Löben Sels;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Löben Sels;fiscal;Ede
00087;van den Berch van Heemstede;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Berch van Heemstede;fiscal;Oosterhout
00951;Mutsaers;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Mutsaers;fiscal;Waalwijk
00433;Lintelo baron de Geer van Jutphaas;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Lintelo baron de Geer van Jutphaas;fiscal;Sliedrecht
01458;van Vlijmen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Vlijmen;fiscal;Veghel
00245;van Bylandt;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Bylandt;fiscal;Apeldoorn
00508;Haffmans;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Haffmans;fiscal;Venlo
00076;Beelaerts van Blokland;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Beelaerts van Blokland;fiscal;Steenwijk
00773;K. ter Laan;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Laan;fiscal;'s-Gravenhage I
00357;J.E.W. Duijs;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Duijs;fiscal;Zaandam
00447;Gerhard;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Gerhard;fiscal;Amsterdam II
00967;Nierstrasz;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Nierstrasz;fiscal;Amsterdam VI
01454;van Vliet;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Vliet;fiscal;Doetinchem
01124;Roodenburg;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Roodenburg;fiscal;Beverwijk
00557;Helsdingen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Helsdingen;fiscal;Franeker
01113;Rink;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Rink;fiscal;Hoogezand
00665;Juten;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Juten;fiscal;Bergen op Zoom
01583;van Wijnbergen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Wijnbergen;fiscal;Elst
01344;Teenstra;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Teenstra;fiscal;Zuidhorn
01451;Vliegen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Vliegen;fiscal;Amsterdam IX
00615;Hugenholtz;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Hugenholtz;fiscal;Weststellingwerf
01023;Patijn;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Patijn;fiscal;Zierikzee
00001;Aalberse;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Aalberse;fiscal;Almelo
00544;Heeres;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Heeres;fiscal;Leiden
00369;Eerdmans;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Eerdmans;fiscal;Rotterdam III
00087;van den Berch van Heemstede;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Berch van Heemstede;fiscal;Oosterhout
00634;Jannink;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Jannink;fiscal;Lochem
01152;Ruys de Beerenbrouck;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Ruijs de Beerenbrouck;fiscal;Gulpen
00106;Beumer;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Beumer;fiscal;Kampen
00303;van Deventer;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Deventer;fiscal;Assen
01177;de Savornin Lohman;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Savornin Lohman;fiscal;Goes
00325;Dolk;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Dolk;fiscal;'s-Gravenhage II
01125;Roodhuyzen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Roodhuyzen;fiscal;Brielle
00410;Fock;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Fock;fiscal;Haarlem
00949;de Muralt;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Muralt;fiscal;Oostburg
01075;van Raalte;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Raalte;fiscal;Middelburg
00981;Nolens;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Nolens;fiscal;Venlo
01460;van Vollenhoven;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Vollenhoven;fiscal;Rotterdam IV
00175;Bos;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Bos;fiscal;Winschoten
01198;Schim van der Loeff;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Schim van der Loeff;fiscal;Dordrecht
00975;J.W.J.C.M. van Nispen tot Sevenaer;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Nispen tot Sevenaer;fiscal;Rheden
00613;Hubrecht;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Hubrecht;fiscal;Amsterdam I
00655;de Jong;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Jong;fiscal;Hoorn
00977;O.F.A.M. van Nispen tot Sevenaer;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Nispen tot Sevenaer;fiscal;Nijmegen
00875;Marchant;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Marchant;fiscal;Deventer
00071;de Beaufort;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Beaufort 2;fiscal;Amersfoort
01147;Rutgers;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Rutgers;fiscal;Hilversum
00408;Fleskens;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Fleskens;fiscal;Helmond
00356;Duynstee;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Duynstee;fiscal;Druten
00635;Janssen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Jansen;fiscal;'s-Gravenhage III
00892;de Meester;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Meester;fiscal;Den Helder
00152;Boissevain;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Boissevain;fiscal;Amsterdam VII
01009;Otto;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Otto;fiscal;Amsterdam III
00448;Gerretson;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Gerretson;fiscal;Rotterdam I
01384;Tydeman;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Tydeman;fiscal;Tiel
01538;van Wichen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Wichen;fiscal;Haarlemmermeer
