Unnamed..0,Name,Parliament,b1_nummer,achternaam,voorletters,voorna_a_m_en,roepnaam,prepositie,geslacht,partij_en_fractie_s,begin_periode,einde_periode
41,Nicolaas Pierson,1905-1909,01034,Pierson,N.G.,Nicolaas Gerard,NA,NA,m,Liberale Unie,1905-09-19,1909-09-20
42,Klaas Reyne,1905-1909,01106,Reyne,K.,Klaas,NA,NA,m,Liberale Unie,1905-09-19,1909-09-20
43,Petrus Hendrik Roessingh,1905-1909,01120,Roessingh,P.H.,Petrus Hendrik,NA,NA,m,Liberale Unie;vooruitstrevende kamerclub;'club-Pyttersen';vrijzinnig-democratische kamerclub,1891-09-15,1913-09-15
44,Antonie Roodhuyzen,1905-1909,01125,Roodhuyzen,A.,Antonie,NA,NA,m,Liberale Unie,1905-02-14,1918-09-16
45,Harm Smeenge,1905-1909,01269,Smeenge,H.,Harm,Harm,NA,m,Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1886-04-05,1918-09-16
46,Lodewijk Willem Johan Karel Thomson,1905-1909,01359,Thomson,L.W.J.K.,Lodewijk Willem Johan Karel,NA,NA,m,Liberale Unie,1905-09-19,1913-05-20
47,Joor Bastiaan Verheij,1905-1909,01411,Verheij,J.B.,Joor Bastiaan,NA,NA,m,liberaal;Liberale Unie,1897-09-21,1913-05-03
48,Geuchien Zijlma,1905-1909,01609,Zijlma,G.,Geuchien,NA,NA,m,liberaal;vooruitstrevende kamerclub;'club-Pyttersen';Liberale Unie,1891-03-03,1909-09-20
49,Jan van Alphen,1905-1909,00019,Alphen,J.,Jan,Jan,van,m,antirevolutionair;ARP,1884-12-08,1908-09-08
50,Hubert van Asch van Wijck,1905-1909,00039,Asch van Wijck,H.W.,Hubert Willem,Hubert,van,m,ARP,1901-09-17,1913-09-15
51,Allard van der Borch van Verwolde,1905-1909,00163,Borch van Verwolde,A.Ph.R.C.,Allard Philip Reinier Carel,NA,baron van der,m,antirevolutionair;ARP,1884-07-29,1913-09-15
52,Maurits Anton Brants,1905-1909,00196,Brants,M.A.,Maurits Anton,NA,NA,m,ARP,1903-03-11,1906-12-31
53,Anthony Brummelkamp jr.,1905-1909,00228,Brummelkamp,A.,Anthony,NA,NA,m,ARP,1897-09-21,1918-09-16
54,Lodewijk Duymaer van Twist,1905-1909,00354,Duymaer van Twist,L.F.,Lodewijk Franciscus,NA,NA,m,ARP,1901-09-17,1946-06-03
55,Theo Heemskerk,1905-1909,00540,Heemskerk,Th.,Theodorus,Theo,NA,m,antirevolutionair;ARP,1888-05-01,1932-06-11
56,Schelto van Heemstra,1905-1909,00543,Heemstra,S.,Schelto,NA,baron van,m,ARP,1897-09-21,1911-12-19
57,Christiaan Lucasse,1905-1909,00849,Lucasse,Ch.,Christiaan,NA,NA,m,antirevolutionair;ARP,1888-05-01,1909-09-20
58,Hendrik Okma,1905-1909,00995,Okma,H.,Hendrik,NA,NA,m,ARP,1901-09-17,1907-10-24
59,Nicolaas de Ridder,1905-1909,01110,Ridder,N.,Nicolaas,NA,de,m,ARP,1901-10-09,1909-11-19
60,Syb Talma,1905-1909,01340,Talma,A.S.,Aritius Sybrandus,Syb,NA,m,ARP,1901-09-17,1908-02-11
61,Henri Adolphe van de Velde,1905-1909,01400,Velde,H.A.,Henri Adolphe,NA,van de,m,antirevolutionair;ARP,1890-04-29,1918-09-16
62,Pieter van Vliet,1905-1909,01454,Vliet,P.,Pieter,Pieter,van,m,ARP,1901-09-17,1918-09-16
63,Jan Hendrik de Waal Malefijt,1905-1909,01498,Waal Malefijt,J.H.,Jan Hendrik,Jan Hendrik,de,m,ARP,1897-09-21,1909-08-15
64,Zadok van den Bergh,1905-1909,00099,Bergh,Z.,Zadok,Zadok,van den,m,VDB,1905-09-19,1909-09-20
65,Dirk Bos,1905-1909,00175,Bos,D.,Dirk,Dirk,NA,m,VDB,1901-09-17,1916-05-05
66,Conrad Theodor van Deventer,1905-1909,00303,Deventer,C.Th.,Conrad Theodor,NA,van,m,VDB,1905-09-19,1915-09-26
67,Hendrik Lodewijk Drucker,1905-1909,00348,Drucker,H.L.,Hendrik Lodewijk,NA,NA,m,vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub;VDB,1894-05-16,1913-06-30
68,Theodore Matthieu Ketelaar,1905-1909,00689,Ketelaar,Th.M.,Theodore Matthieu,Theo,NA,m,Radicale Bond;VDB,1897-09-21,1936-06-26
69,Joseph Limburg,1905-1909,00822,Limburg,J.,Joseph,NA,NA,m,VDB,1905-09-19,1918-09-16
70,Henri Marchant,1905-1909,00875,Marchant,H.P.,Hendrik Pieter,Henri,NA,m,vrijzinnig-democratische kamerclub;VDB,1900-06-08,1933-05-26
71,Pieter Rudolf Mees,1905-1909,00888,Mees,P.R.,Pieter Rudolf,NA,NA,m,VDB,1905-09-19,1909-09-20
72,Piet Nolting,1905-1909,00983,Nolting,P.,Pieter,Piet,NA,m,Radicale Bond;VDB,1897-09-21,1909-09-20
73,Eerke Albert Smidt,1905-1909,01271,Smidt,E.A.,Eerke Albert,NA,NA,m,Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub;VDB,1893-11-28,1913-09-15
74,Willem Treub,1905-1909,00325,Dolk,W.,Willem,NA,NA,m,Liberale Unie,1902-09-18,1916-11-23
75,Willem Hendrik de Beaufort,1905-1909,00071,Beaufort,W.H.,Willem Hendrik,NA,de,m,liberaal;oud- of vrije liberalen;Vrij-Liberalen,1877-04-23,1918-04-01
76,Cornelis Frans Jacobus Blooker,1905-1909,00134,Blooker,C.F.J.,Cornelis Frans Jacobus,NA,NA,m,oud- of vrije liberalen,1905-09-19,1909-09-20
77,Pieter van Foreest,1905-1909,00417,Foreest,P.,Pieter,NA,van,m,oud- of vrije liberalen;Vrij-Liberalen,1903-05-12,1918-09-16
78,Pieter Christiaan Jacobus Hennequin,1905-1909,00562,Hennequin,P.Ch.J.,Pieter Christiaan Jacobus,NA,NA,m,Liberale Unie;oud- of vrije liberalen,1891-09-15,1909-09-20
79,Abraham van Karnebeek,1905-1909,00676,Karnebeek,A.P.C.,Abraham Pieter Cornelis,NA,van,m,oud- of vrije liberalen;Vrij-Liberalen,1891-03-03,1913-09-15
80,Antoine Plate,1905-1909,01036,Plate,A.,Antoine,NA,NA,m,liberaal;oud- of vrije liberalen,1893-02-28,1909-09-20
81,Joan Röell,1905-1909,01118,Röell,J.,Joan,NA,NA,m,liberaal;oud- of vrije liberalen,1877-09-18,1909-09-20
82,Floris Willem van Styrum,1905-1909,01324,Styrum,F.W.,Floris Willem,NA,van,m,oud- of vrije liberalen,1900-05-31,1909-09-20
83,Meinard Tydeman,1905-1909,01384,Tydeman,M.,Meinard,Map,NA,m,Liberale Unie;oud- of vrije liberalen;Vrij-Liberalen,1891-12-14,1916-11-03
84,Willem van der Vlugt,1905-1909,01457,Vlugt,W.,Willem,NA,van der,m,oud- of vrije liberalen,1902-12-09,1906-09-17
85,Frederik van Bylandt,1905-1909,00245,Bylandt,W.K.F.P.,Willem Karel Frederik Pieter,Frederik,graaf van,m,antirevolutionair;Vrij-AR;CHP;CHU,1882-11-08,1916-01-26
86,Alexander van Dedem,1905-1909,00293,Dedem,A.,Alexander,NA,baron van,m,antirevolutionair;Vrij-AR;CHP;CHU,1879-09-15,1913-09-15
87,Johan van Idsinga,1905-1909,00624,Idsinga,J.W.H.M.,Johan Willem Herman Meyert,NA,van,m,Vrij-AR;CHP;CHU,1901-09-17,1918-09-16
88,Otto van Limburg Stirum,1905-1909,00826,Limburg Stirum,O.J.H.,Otto Jan Herbert,NA,graaf van,m,Vrij-AR;CHP,1894-05-16,1907-08-26
89,Alexander Frederik de Savornin Lohman,1905-1909,01177,Savornin Lohman,A.F.,Alexander Frederik,NA,de,m,antirevolutionair;Vrij-AR;CHP;CHU,1879-09-15,1921-02-07
90,Rienk van Veen,1905-1909,01392,Veen,R.,Rienk,NA,van,m,Vrij-AR;CHP;CHU,1901-09-17,1922-07-23
91,Otto van Wassenaer van Catwijck,1905-1909,01510,Wassenaer van Catwijck,O.J.E.,Otto Jacob Eifelanus,NA,baron van,m,antirevolutionair;Vrij-AR;CHP;CHU,1888-05-01,1914-05-15
92,Frederik Willem Nicolaas Hugenholtz,1905-1909,00615,Hugenholtz,F.W.N.,Frederik Willem Nicolaas,NA,NA,m,SDAP,1901-09-17,1924-05-13
93,Henri van Kol,1905-1909,00723,Kol,H.H.,Henri Hubert,Henri,van,m,SDAP,1897-09-24,1909-09-20
94,Kornelis ter Laan,1905-1909,00773,Laan,K.,Kornelis,NA,ter,m,SDAP,1901-09-17,1937-06-07
95,Jan Schaper,1905-1909,01189,Schaper,J.H.A.,Johan Hendrik Andries,Jan,NA,m,SDAP,1899-04-25,1934-08-30
96,Pieter Lodewijk Tak,1905-1909,01338,Tak,P.L.,Pieter Lodewijk,Piet,NA,m,SDAP,1905-09-19,1907-08-23
97,Pieter Jelles Troelstra,1905-1909,01376,Troelstra,P.J.,Pieter Jelles,Pieter Jelles,NA,m,SDAP,1897-09-24,1925-09-14
98,Geert van der Zwaag,1905-1909,01604,Zwaag,G.L.,Geert Lourens,Geert,van der,m,Vrije Socialist,1897-09-21,1909-09-20
99,Jan Schokking,1905-1909,01215,Schokking,J.,Jan,Jan,NA,m,Friese CH;CHU,1901-11-19,1932-03-01
100,Willem Hendrik Bogaardt,1905-1909,00150,Bogaardt,W.H.,Willem Hendrik,NA,NA,m,Algemeene Bond (RKSP),1906-02-13,1918-11-13
101,Joseph Willem Jan Carel Marie Nispen tot Sevenaer,1905-1909,00975,Nispen tot Sevenaer,J.W.J.C.M.,Joseph Willem Jan Carel Marie,NA,van,m,Algemeene Bond (RKSP),1908-03-10,1917-01-09
102,Schelto van Citters,1905-1909,00256,Citters,S.,Schelto,Schelto,van,m,ARP,1907-03-06,1909-07-08
103,Simon de Vries Czn,1905-1909,01489,Vries,S.,Simon,NA,de,m,ARP,1902-11-18,1908-09-17
104,Jan van der Molen,1905-1909,00934,Molen,J.,Jan,Jan,van der,m,ARP,1908-03-18,1925-09-14
105,Coenraad van der Voort van Zijp,1905-1909,01470,Voort van Zijp,C.,Coenraad,NA,van der,m,ARP,1908-03-19,1925-09-14
106,Hendrik Pollema,1905-1909,01048,Pollema,H.,Hendrik,NA,NA,m,ARP,1908-11-09,1913-09-15
107,Abraham Kuyper,1905-1909,00766,Kuyper,A.,Abraham,Abraham,NA,m,antirevolutionair;ARP,1874-03-20,1912-09-17
108,Willem van Manen Jzn.,1905-1909,00873,Manen,W.,Willem,NA,van,m,ARP,1909-09-16,1909-09-20
109,Johannes Theodoor de Visser,1905-1909,01446,Visser,J.Th.,Johannes Theodoor,NA,de,m,CH-Kiezersbond;CHP;CHU,1897-09-21,1929-09-16
110,Dirk Jan de Geer,1905-1909,00432,Geer,D.J.,Dirk Jan,Dirk,de,m,CHP;CHU,1907-11-04,1939-08-09
111,Willem Helsdingen,1905-1909,00557,Helsdingen,W.P.G.,Willem Pieter Gerardus,Willem,NA,m,SDAP,1901-09-17,1921-08-19
0,Piet Aalberse,1909-1913,00001,Aalberse,P.J.M.,Petrus Josephus Mattheüs,Piet,NA,m,Rooms-Katholieken;Algemeene Bond (RKSP);RKSP,1903-02-24,1937-11-08
1,Antoine Arts,1909-1913,01036,Plate,A.,Antoine,NA,NA,m,liberaal;oud- of vrije liberalen,1893-02-28,1909-09-20
2,Jan Hendrik Joseph Beckers,1909-1913,00072,Beckers,J.H.J.,Jan Hendrik Joseph,Jean,NA,m,Rooms-Katholieken;Algemeene Bond (RKSP),1903-10-09,1918-09-16
3,Isaäc Burchard Diederik van den Berch van Heemstede,1909-1913,00087,Berch van Heemstede,I.B.D.,Isaäc Burchard Diederik,NA,van den,m,Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP),1891-09-15,1916-07-31
4,Willem Hendrik Bogaardt,1909-1913,00150,Bogaardt,W.H.,Willem Hendrik,NA,NA,m,Algemeene Bond (RKSP),1906-02-13,1918-11-13
5,Frans Jozef Bolsius,1909-1913,00153,Bolsius,F.J.,Frans Jozef,Frans,NA,m,Rooms-Katholieken;Algemeene Bond (RKSP),1900-09-18,1913-09-15
6,Theodorus Johannes Antonius Duynstee,1909-1913,00356,Duynstee,Th.J.A.,Theodorus Johannes Antonius,NA,NA,m,Rooms-Katholieken;Algemeene Bond (RKSP),1905-06-19,1918-09-16
7,Petrus Franciscus Fruytier,1909-1913,00430,Fruytier,P.F.,Petrus Franciscus,NA,NA,m,Rooms-Katholieken;Algemeene Bond (RKSP),1901-09-17,1922-07-23
8,Vincentius Adrianus Maria van den Heuvel,1909-1913,00574,Heuvel,V.A.M.,Vincentius Adrianus Maria,Vincent,van den,m,Rooms-Katholieken;Algemeene Bond (RKSP),1898-11-22,1910-09-20
9,François Isidore Joseph Janssen,1909-1913,00638,Janssen,F.I.J.,Franciscus Isidorus Josephus,François,NA,m,Rooms-Katholieken;Algemeene Bond (RKSP),1902-04-29,1918-09-16
10,Dionysius Adrianus Petrus Norbertus Koolen,1909-1913,00733,Koolen,D.A.P.N.,Dionysius Adrianus Petrus Norbertus,NA,NA,m,Algemeene Bond (RKSP),1905-09-19,1925-08-03
11,Johannes Alouisius Loeff,1909-1913,00835,Loeff,J.A.,Johannes Alouisius,Jan,NA,m,Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP),1896-05-05,1920-01-13
12,Joseph Willem Jan Carel Marie Nispen tot Sevenaer,1909-1913,00975,Nispen tot Sevenaer,J.W.J.C.M.,Joseph Willem Jan Carel Marie,NA,van,m,Algemeene Bond (RKSP),1908-03-10,1917-01-09
13,Octaaf van Nispen,1909-1913,00766,Kuyper,A.,Abraham,Abraham,NA,m,antirevolutionair;ARP,1874-03-20,1912-09-17
14,Wiel Nolens,1909-1913,00983,Nolting,P.,Pieter,Piet,NA,m,Radicale Bond;VDB,1897-09-21,1909-09-20
15,Willem Caspar Joseph Passtoors,1909-1913,01020,Passtoors,W.C.J.,Willem Caspar Joseph,NA,NA,m,Rooms-Katholieken;Algemeene Bond (RKSP),1901-03-05,1913-09-15
16,Lambert de Ram,1909-1913,01079,Ram,L.D.J.L.,Lambertus Dominicus Johannes Ludovicus,Lambert,de,m,Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP),1888-05-01,1913-09-15
17,Edmond Robert Hubert Regout,1909-1913,01094,Regout,E.R.H.,Edmond Robert Hubert,Robert,NA,m,Algemeene Bond (RKSP),1905-09-19,1910-06-06
18,Charles Ruijs de Beerenbrouck,1909-1913,01152,Ruijs de Beerenbrouck,Ch.J.M.,Charles Joseph Marie,Charles,NA,m,Algemeene Bond (RKSP);RKSP,1905-09-19,1936-04-16
19,Alexander van Sasse van Ysselt,1909-1913,01172,Sasse van Ysselt,A.F.O.,Alexander Frederik Oscar,NA,van,m,Rooms-Katholieken;Algemeene Bond (RKSP),1901-09-17,1929-09-16
20,Victor de Stuers,1909-1913,01320,Stuers,V.E.L.,Victor Eugène Louis,Victor,de,m,Rooms-Katholieken;Algemeene Bond (RKSP),1901-12-09,1916-03-20
21,Bernardus Reinierus Franciscus van Vlijmen,1909-1913,01458,Vlijmen,B.R.F.,Bernardus Reinierus Franciscus,NA,van,m,Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP),1888-05-01,1918-09-16
22,Adrianus Cornelis Antonie van Vuuren,1909-1913,01494,Vuuren,A.C.A.,Adrianus Cornelis Antonie,NA,van,m,Algemeene Bond (RKSP);RKSP,1905-09-19,1932-04-01
23,Franciscus Hubertus van Wichen,1909-1913,01538,Wichen,F.H.,Franciscus Hubertus,NA,van,m,Rooms-Katholieken;Algemeene Bond (RKSP),1901-09-17,1916-11-03
24,Antonius van Wijnbergen,1909-1913,01583,Wijnbergen,A.I.M.J.,Antonius Ignatius Maria Josephus,NA,baron van,m,Rooms-Katholieken;Algemeene Bond (RKSP);RKSP,1904-04-19,1933-05-08
25,Hubert van Asch van Wijck,1909-1913,00039,Asch van Wijck,H.W.,Hubert Willem,Hubert,van,m,ARP,1901-09-17,1913-09-15
26,Johan Heinrich Blum,1909-1913,00135,Blum,J.H.,Johan Heinrich,NA,NA,m,ARP,1909-09-21,1913-09-15
27,Allard van der Borch van Verwolde,1909-1913,00163,Borch van Verwolde,A.Ph.R.C.,Allard Philip Reinier Carel,NA,baron van der,m,antirevolutionair;ARP,1884-07-29,1913-09-15
28,Anthony Brummelkamp jr.,1909-1913,00228,Brummelkamp,A.,Anthony,NA,NA,m,ARP,1897-09-21,1918-09-16
29,Hendrik Colijn,1909-1913,00263,Colijn,H.,Hendrikus,Hendrik,NA,m,ARP,1909-11-09,1937-06-24
30,Lodewijk Duymaer van Twist,1909-1913,00354,Duymaer van Twist,L.F.,Lodewijk Franciscus,NA,NA,m,ARP,1901-09-17,1946-06-03
31,Gerrit Elhorst,1909-1913,00376,Elhorst,G.,Gerrit,NA,NA,m,ARP,1909-09-21,1913-09-15
32,Jan Frederik Heemskerk,1909-1913,00539,Heemskerk,J.F.,Jan Frederik,Jan,NA,m,ARP,1909-09-21,1922-06-23
33,Schelto van Heemstra,1909-1913,00543,Heemstra,S.,Schelto,NA,baron van,m,ARP,1897-09-21,1911-12-19
34,Jan Samuel François van Hoogstraten,1909-1913,00601,Hoogstraten,J.S.F.,Jan Samuel François,NA,van,m,ARP,1909-09-21,1913-09-15
35,Albertus de Jong,1909-1913,00647,Jong,A.,Albertus,NA,de,m,ARP,1909-09-21,1910-09-19
36,Abraham Kuyper,1909-1913,00766,Kuyper,A.,Abraham,Abraham,NA,m,antirevolutionair;ARP,1874-03-20,1912-09-17
37,Alex van Lynden van Sandenburg,1909-1913,00858,Lynden van Sandenburg,F.A.C.,Frederik Alexander Carel,Alex,graaf van,m,ARP,1909-09-21,1913-09-15
38,Gerrit Adriaan Arnold Middelberg,1909-1913,00925,Middelberg,G.A.A.,Gerrit Adriaan Arnold,NA,NA,m,ARP,1909-09-21,1913-09-15
39,Jan van der Molen,1909-1913,00934,Molen,J.,Jan,Jan,van der,m,ARP,1908-03-18,1925-09-14
40,Frederik de Monté VerLoren,1909-1913,00940,Monté VerLoren,F.H.,Frederik Herman,NA,de,m,ARP,1909-11-10,1925-04-29
41,Nicolaas Oosterbaan,1909-1913,01003,Oosterbaan,N.,Nicolaas,NA,NA,m,ARP,1909-09-21,1917-07-26
42,Hendrik Pollema,1909-1913,01048,Pollema,H.,Hendrik,NA,NA,m,ARP,1908-11-09,1913-09-15
43,Nicolaas de Ridder,1909-1913,01110,Ridder,N.,Nicolaas,NA,de,m,ARP,1901-10-09,1909-11-19
44,Henri Adolphe van de Velde,1909-1913,01400,Velde,H.A.,Henri Adolphe,NA,van de,m,antirevolutionair;ARP,1890-04-29,1918-09-16
45,Pieter van Vliet,1909-1913,01454,Vliet,P.,Pieter,Pieter,van,m,ARP,1901-09-17,1918-09-16
46,Willem de Vlugt,1909-1913,01456,Vlugt,W.,Willem,Willem,de,m,ARP,1909-09-21,1913-09-15
47,Coenraad van der Voort van Zijp,1909-1913,01470,Voort van Zijp,C.,Coenraad,NA,van der,m,ARP,1908-03-19,1925-09-14
48,Willem Dolk,1909-1913,00325,Dolk,W.,Willem,NA,NA,m,Liberale Unie,1902-09-18,1916-11-23
49,Willem Theodoor Cornelis van Doorn,1909-1913,00337,Doorn,W.Th.C.,Willem Theodoor Cornelis,NA,van,m,Liberale Unie,1905-09-19,1921-04-04
50,Kornelis Eland,1909-1913,00374,Eland,K.,Kornelis,NA,NA,m,Liberale Unie,1905-09-19,1918-09-16
51,Petrus Boele Jacobus Ferf,1909-1913,00404,Ferf,P.B.J.,Petrus Boele Jacobus,NA,NA,m,Liberale Unie;vooruitstrevende kamerclub;'club-Pyttersen';liberaal,1891-10-02,1912-03-18
52,Hendrik Goeman Borgesius,1909-1913,00469,Goeman Borgesius,H.,Hendrik,Hendrik,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1877-11-19,1917-01-17
53,Gerard Anton van Hamel,1909-1913,00517,Hamel,G.A.,Gerard Anton,NA,van,m,Liberale Unie,1909-09-21,1917-02-28
54,Henri François Rudolf Hubrecht,1909-1913,00613,Hubrecht,H.F.R.,Henri François Rudolf,NA,NA,m,Liberale Unie,1901-09-17,1918-09-16
55,Gerrit Jannink,1909-1913,00634,Jannink,G.,Gerrit,NA,NA,m,Liberale Unie,1905-09-19,1918-09-16
56,Joannes Coenraad Jansen,1909-1913,00635,Jansen,J.C.,Joannes Coenraad,NA,NA,m,Liberale Unie,1905-09-19,1918-09-16
57,Pieter Johannes de Kanter,1909-1913,00672,Kanter,P.J.,Pieter Johannes,NA,de,m,Liberale Unie;Vrijheidsbond,1909-09-21,1922-07-23
58,Dirk de Klerk,1909-1913,00704,Klerk,D.,Dirk,NA,de,m,vrijzinnig-democratische kamerclub;Liberale Unie,1897-09-21,1913-09-15
59,Franciscus Lieftinck,1909-1913,00815,Lieftinck,F.,Franciscus,NA,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1879-02-18,1917-06-26
60,Theo de Meester,1909-1913,00892,Meester,Th.H.,Theodoor Herman,NA,de,m,Liberale Unie,1910-05-09,1917-03-29
61,Rudolf Patijn,1909-1913,01023,Patijn,R.J.H.,Rudolf Johan Hendrik,NA,NA,m,Liberale Unie,1905-09-20,1918-09-16
62,Pieter Rink,1909-1913,01113,Rink,P.,Pieter,NA,NA,m,Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub;Vrijheidsbond,1891-09-15,1922-06-23
63,Petrus Hendrik Roessingh,1909-1913,01120,Roessingh,P.H.,Petrus Hendrik,NA,NA,m,Liberale Unie;vooruitstrevende kamerclub;'club-Pyttersen';vrijzinnig-democratische kamerclub,1891-09-15,1913-09-15
64,Antonie Roodhuyzen,1909-1913,01125,Roodhuyzen,A.,Antonie,NA,NA,m,Liberale Unie,1905-02-14,1918-09-16
65,Harm Smeenge,1909-1913,01269,Smeenge,H.,Harm,Harm,NA,m,Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1886-04-05,1918-09-16
66,Lodewijk Thomson,1909-1913,01359,Thomson,L.W.J.K.,Lodewijk Willem Johan Karel,NA,NA,m,Liberale Unie,1905-09-19,1913-05-20
67,Joor Bastiaan Verheij,1909-1913,01411,Verheij,J.B.,Joor Bastiaan,NA,NA,m,liberaal;Liberale Unie,1897-09-21,1913-05-03
68,Jan Ankerman,1909-1913,00029,Ankerman,J.,Jan,Jan,NA,m,CHU,1909-09-21,1922-07-23
69,Frederik van Bylandt,1909-1913,00245,Bylandt,W.K.F.P.,Willem Karel Frederik Pieter,Frederik,graaf van,m,antirevolutionair;Vrij-AR;CHP;CHU,1882-11-08,1916-01-26
70,Alexander van Dedem,1909-1913,00293,Dedem,A.,Alexander,NA,baron van,m,antirevolutionair;Vrij-AR;CHP;CHU,1879-09-15,1913-09-15
71,Dirk Jan de Geer,1909-1913,00432,Geer,D.J.,Dirk Jan,Dirk,de,m,CHP;CHU,1907-11-04,1939-08-09
72,Johan van Idsinga,1909-1913,00624,Idsinga,J.W.H.M.,Johan Willem Herman Meyert,NA,van,m,Vrij-AR;CHP;CHU,1901-09-17,1918-09-16
73,Frank van Lennep,1909-1913,00806,Lennep,F.K.,Frank Karel,Frank,van,m,CHU,1909-09-21,1913-09-15
74,Alexander Frederik de Savornin Lohman,1909-1913,01177,Savornin Lohman,A.F.,Alexander Frederik,NA,de,m,antirevolutionair;Vrij-AR;CHP;CHU,1879-09-15,1921-02-07
75,Gerrit Johan Anne Schimmelpenninck,1909-1913,01201,Schimmelpenninck,G.J.A.,Gerrit Johan Anne,NA,NA,m,CHU,1909-09-21,1918-09-16
76,Johan Reinhardt Snoeck Henkemans,1909-1913,01283,Snoeck Henkemans,J.R.,Johan Reinhardt,Reinhardt,NA,m,CHU,1909-09-21,1935-10-02
77,Rienk van Veen,1909-1913,01392,Veen,R.,Rienk,NA,van,m,Vrij-AR;CHP;CHU,1901-09-17,1922-07-23
78,Johannes Theodoor de Visser,1909-1913,01446,Visser,J.Th.,Johannes Theodoor,NA,de,m,CH-Kiezersbond;CHP;CHU,1897-09-21,1929-09-16
79,Otto Jacob Eifelanus van Wassenaer van Catwijck,1909-1913,01510,Wassenaer van Catwijck,O.J.E.,Otto Jacob Eifelanus,NA,baron van,m,antirevolutionair;Vrij-AR;CHP;CHU,1888-05-01,1914-05-15
80,Dirk Bos,1909-1913,00175,Bos,D.,Dirk,Dirk,NA,m,VDB,1901-09-17,1916-05-05
81,Hendrik Lodewijk Drucker,1909-1913,00348,Drucker,H.L.,Hendrik Lodewijk,NA,NA,m,vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub;VDB,1894-05-16,1913-06-30
82,Theodore Matthieu Ketelaar,1909-1913,00689,Ketelaar,Th.M.,Theodore Matthieu,Theo,NA,m,Radicale Bond;VDB,1897-09-21,1936-06-26
83,Joseph Limburg,1909-1913,00822,Limburg,J.,Joseph,NA,NA,m,VDB,1905-09-19,1918-09-16
84,Henri Marchant,1909-1913,00875,Marchant,H.P.,Hendrik Pieter,Henri,NA,m,vrijzinnig-democratische kamerclub;VDB,1900-06-08,1933-05-26
85,Eerke Albert Smidt,1909-1913,01271,Smidt,E.A.,Eerke Albert,NA,NA,m,Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub;VDB,1893-11-28,1913-09-15
86,Edsge Marten Teenstra,1909-1913,01344,Teenstra,E.M.,Edsge Marten,NA,NA,m,VDB;groep-Van Beresteyn/Teenstra (ex-VDB),1909-09-21,1922-07-23
87,Willem Treub,1909-1913,00325,Dolk,W.,Willem,NA,NA,m,Liberale Unie,1902-09-18,1916-11-23
88,George Auguste Vorsterman van Oyen,1909-1913,01472,Vorsterman van Oijen,G.A.,George Auguste,NA,NA,m,VDB,1909-09-21,1913-09-15
89,Jan Duijs,1909-1913,00934,Molen,J.,Jan,Jan,van der,m,ARP,1908-03-18,1925-09-14
90,Willem Helsdingen,1909-1913,00557,Helsdingen,W.P.G.,Willem Pieter Gerardus,Willem,NA,m,SDAP,1901-09-17,1921-08-19
91,Frederik Willem Nicolaas Hugenholtz,1909-1913,00615,Hugenholtz,F.W.N.,Frederik Willem Nicolaas,NA,NA,m,SDAP,1901-09-17,1924-05-13
92,Kornelis ter Laan,1909-1913,00773,Laan,K.,Kornelis,NA,ter,m,SDAP,1901-09-17,1937-06-07
93,Jan Schaper,1909-1913,01189,Schaper,J.H.A.,Johan Hendrik Andries,Jan,NA,m,SDAP,1899-04-25,1934-08-30
94,Pieter Jelles Troelstra,1909-1913,01376,Troelstra,P.J.,Pieter Jelles,Pieter Jelles,NA,m,SDAP,1897-09-24,1925-09-14
95,Willem Vliegen,1909-1913,01456,Vlugt,W.,Willem,Willem,de,m,ARP,1909-09-21,1913-09-15
96,Willem Hendrik de Beaufort,1909-1913,00071,Beaufort,W.H.,Willem Hendrik,NA,de,m,liberaal;oud- of vrije liberalen;Vrij-Liberalen,1877-04-23,1918-04-01
97,Pieter van Foreest,1909-1913,00417,Foreest,P.,Pieter,NA,van,m,oud- of vrije liberalen;Vrij-Liberalen,1903-05-12,1918-09-16
98,Abraham van Karnebeek,1909-1913,00676,Karnebeek,A.P.C.,Abraham Pieter Cornelis,NA,van,m,oud- of vrije liberalen;Vrij-Liberalen,1891-03-03,1913-09-15
99,Meinard Tydeman,1909-1913,01384,Tydeman,M.,Meinard,Map,NA,m,Liberale Unie;oud- of vrije liberalen;Vrij-Liberalen,1891-12-14,1916-11-03
