"achternaam","voornaam","tussenvoegsel","jaar","maand","dag","type verkiezing","districtsnaam","aantal stemmen","omvang_electoraat","zetels","drempel"
"Beens","C.C.A. ",,"1859","2","22","herstemming","Tilburg","945","3077","1.0","644.0"
"Beens","C.C.A. ",,"1860","6","12","periodiek","Tilburg","600","2949","1.0","562.0"
"Beens","C.C.A. ",,"1864","2","3","herstemming","Tilburg","1088","3081","1.0","973.0"
"Beens","C.C.A. ",,"1864","6","14","periodiek","Tilburg","796","3138","1.0","514.0"
"Beens","C.C.A. ",,"1866","10","30","algemeen","Tilburg","1221","3095","2.0","1128.0"
"Begram","W.C.M. ",,"1859","2","8","herstemming","Gorinchem","1043","2810","1.0","950.0"
"Begram","W.C.M. ",,"1862","6","10","periodiek","Gorinchem","1031","2969","1.0","768.0"
"Begram","W.C.M. ",,"1866","6","12","periodiek","Gorinchem","1147","3009","1.0","734.0"
"Begram","W.C.M. ",,"1866","10","30","algemeen","Gorinchem","1429","3009","2.0","1141.0"
"Begram","W.C.M. ",,"1868","1","22","algemeen","Gorinchem","1288","3101","2.0","1036.0"
"Begram","W.C.M. ",,"1871","6","13","periodiek","Gorinchem","1155","3169","1.0","638.0"
"Begram","W.C.M. ",,"1875","6","8","periodiek","Gorinchem","1281","3340","1.0","1106.0"
"Beijma thoe Kingma","S.W.H.A. van",,"1863","10","15","tussentijds","Dokkum","856","2551","1.0","736.0"
"Beijma thoe Kingma","S.W.H.A. van",,"1864","6","14","periodiek","Dokkum","970","2434","1.0","772.0"
"Beijma thoe Kingma","S.W.H.A. van",,"1866","10","30","algemeen","Dokkum","989","2397","2.0","885.0"
"Beijma thoe Kingma","S.W.H.A. van",,"1868","1","22","algemeen","Dokkum","1043","2460","2.0","878.0"
"Beijma thoe Kingma","S.W.H.A. van",,"1869","6","8","periodiek","Dokkum","1043","2478","1.0","818.0"
"Berch van Heemstede","J.L.C. van den",,"1873","4","1","herstemming","Leiden","977","2792","1.0","844.0"
"Berch van Heemstede","J.L.C. van den",,"1873","6","24","herstemming","Leiden","978","2832","1.0","725.0"
"Berch van Heemstede","J.L.C. van den",,"1877","6","12","periodiek","Leiden","1125","2969","1.0","1029.0"
"Berch van Heemstede","I.B.D. van den",,"1891","6","9","algemeen","Oosterhout","1481","3510","1.0","1248.0"
"Berch van Heemstede","I.B.D. van den",,"1894","4","10","algemeen","Oosterhout","1256","3491","1.0","683.0"
"Berch van Heemstede","I.B.D. van den",,"1897","6","15","algemeen","Oosterhout","3335","6175","1.0","1800.0"
"Berch van Heemstede","I.B.D. van den",,"1905","6","16","algemeen","Oosterhout","3470","6784","1.0","2324.0"
"Berch van Heemstede","I.B.D. van den",,"1909","6","11","algemeen","Oosterhout","4459","7460","1.0","2499.0"
"Berch van Heemstede","I.B.D. van den",,"1913","6","17","algemeen","Oosterhout","5110","8218","1.0","2846.0"
"Berckel","A.H.M. van",,"1883","6","26","herstemming","Delft","1468","3386","1.0","1427.0"
"Berckel","A.H.M. van",,"1884","10","28","algemeen","Delft","1172","3383","2.0","1142.0"
"Berckel","A.H.M. van",,"1884","11","11","herstemming","Delft","1854","3383","2.0","1486.0"
"Berckel","A.H.M. van",,"1884","11","11","herstemming","Almelo","1204","2494","2.0","1173.0"
"Berckel","A.H.M. van",,"1886","6","15","algemeen","Delft","1822","3622","2.0","1600.0"
"Berckel","A.H.M. van",,"1887","9","1","algemeen","Delft","1509","3583","2.0","1136.0"
"Berckel","A.H.M. van",,"1888","3","20","herstemming","Loosduinen","2001","3747","1.0","1680.0"
"Berckel","A.H.M. van",,"1891","6","23","herstemming","Loosduinen","1355","3943","1.0","1353.0"
"Berckel","A.H.M. van",,"1894","4","24","herstemming","Loosduinen","1755","4035","1.0","1615.0"
"Beresteijn","E.A. van",,"1916","6","17","tussentijds","Winschoten","3384","8858","1.0","3080.0"
"Bergansius","J.W. ",,"1901","6","14","algemeen","Elst","3089","6819","1.0","2706.0"
"Bergh","Z. van den",,"1905","8","4","tussentijds","Den Helder","3420","7641","1.0","3179.0"
"Bergh jr.","S. van den",,"1905","9","14","herstemming","Rotterdam I","2998","7357","1.0","2942.0"
"Bergsma","W.A. ",,"1871","6","13","periodiek","Dokkum","847","2520","1.0","682.0"
"Bergsma","W.A. ",,"1875","6","8","periodiek","Dokkum","1306","2608","1.0","1101.0"
"Bergsma","W.A. ",,"1879","6","10","periodiek","Dokkum","997","2781","1.0","960.0"
"Bergsma","W.A. ",,"1883","6","12","periodiek","Dokkum","1138","2712","1.0","1098.0"
"Best","J. van",,"1910","10","20","tussentijds","Eindhoven","4860","7808","1.0","2654.0"
"Best","J. van",,"1913","6","17","algemeen","Eindhoven","5751","8816","1.0","3196.0"
"Betz","G.H. ",,"1859","1","25","tussentijds","Rotterdam","655","2673","1.0","449.0"
"Beumer","E.J. ",,"1913","6","25","herstemming","Kampen","3877","8093","1.0","3801.0"
"Beuningen","H.A. van",,"1891","6","9","algemeen","Utrecht","1839","4365","1.0","1782.0"
"Bevers","J.G.S. ",,"1888","3","20","herstemming","Doetinchem","1755","3629","1.0","1642.0"
"Bevers","J.G.S. ",,"1891","6","23","herstemming","Doetinchem","1845","3825","1.0","1790.0"
"Bichon van Ysselmonde","M. ",,"1866","11","13","herstemming","Dordrecht","968","2165","2.0","939.0"
"Bichon van Ysselmonde","M. ",,"1868","7","7","herstemming","Dordrecht","1071","2231","1.0","992.0"
"Bichon van Ysselmonde","M. ",,"1874","2","27","herstemming","Gouda","1645","3448","1.0","1329.0"
"Bichon van Ysselmonde","M. ",,"1877","6","12","periodiek","Gouda","1189","3717","1.0","1127.0"
"Bichon van Ysselmonde","M. ",,"1881","6","14","periodiek","Gouda","1645","3806","1.0","1448.0"
"Bichon van Ysselmonde","C.J.A. ",,"1912","11","27","tussentijds","Ommen","4181","8667","1.0","3861.0"
"Bichon van Ysselmonde","C.J.A. ",,"1913","6","25","herstemming","Ommen","5078","10304","1.0","4791.0"
"Bichon van Ysselmonde","C.J.A. ",,"1917","6","15","algemeen","Ommen","3276","10876","1.0","2092.0"
"Bieberstein","Ch. baron van",,"1896","12","22","tussentijds","Sittard","1094","1921","1.0","561.0"
"Bieberstein Rogalla Zawadsky","C.A. baron van",,"1858","6","8","periodiek","Maastricht","820","1946","1.0","428.0"
"Bieberstein Rogalla Zawadsky","C.A. baron van",,"1862","6","10","periodiek","Maastricht","902","2077","1.0","459.0"
"Bieberstein Rogalla Zawadsky","C.A. baron van",,"1866","6","12","periodiek","Maastricht","1021","2389","1.0","520.0"
"Bieberstein Rogalla Zawadsky","C.A. baron van",,"1866","10","30","algemeen","Maastricht","990","2389","2.0","728.0"
"Bieberstein Rogalla Zawadsky","C.A. baron van",,"1868","1","22","algemeen","Maastricht","1133","2655","2.0","1012.0"
"Bieberstein Rogalla Zawadsky","C.A. baron van",,"1871","6","13","periodiek","Maastricht","927","2465","1.0","535.0"
"Bieberstein Rogalla Zawadsky","C.A. baron van",,"1875","6","8","periodiek","Maastricht","1008","2405","1.0","530.0"
"Bieberstein Rogalla Zawadsky","C.A. baron van",,"1879","6","10","periodiek","Maastricht","1096","2560","1.0","565.0"
"Bieberstein Rogalla Zawadsky","C.C.M.H. baron van",,"1897","6","15","algemeen","Sittard","2240","6018","1.0","1268.0"
"Biesen","J.J.W. van den",,"1885","7","14","tussentijds","Breda","1747","4191","1.0","1012.0"
"Biesen","J.J.W. van den",,"1886","6","15","algemeen","Breda","1998","4387","2.0","1274.0"
"Biesen","J.J.W. van den",,"1887","9","1","algemeen","Breda","1525","4311","2.0","794.0"
"Bijleveld","H. ",,"1902","9","18","herstemming","Amsterdam IX","3330","9137","1.0","3281.0"
"Blaupot ten Cate","S. ",,"1851","10","10","tussentijds","Groningen","356","1417","1.0","276.0"
"Blaupot ten Cate","S. ",,"1853","5","17","algemeen","Groningen","557","1443","1.0","434.0"
"Blaupot ten Cate","S. ",,"1856","6","10","periodiek","Groningen","443","1476","1.0","244.0"
"Blom","F.W.C. ",,"1862","2","25","tussentijds","Rotterdam","1088","3030","1.0","871.0"
"Blom","F.W.C. ",,"1864","6","14","periodiek","Rotterdam","882","2959","1.0","737.0"
"Blom","Ph. van",,"1865","3","7","herstemming","Dokkum","950","2434","1.0","803.0"
"Blom","Ph. van",,"1866","6","12","periodiek","Dokkum","900","2397","1.0","713.0"
"Blom","F.W.C. ",,"1866","10","30","algemeen","Rotterdam","1322","2935","3.0","1109.0"
"Blom","Ph. van",,"1866","10","30","algemeen","Dokkum","991","2397","2.0","885.0"
